name,school_type,address,campus_kind
서전고등학교,일반고등학교,충청북도 진천군 덕산읍 대하로 47,-
중앙탑고등학교,일반고등학교,충청북도 충주시 중앙탑면 기업도시로 163,-
동성고등학교,일반고등학교,충청북도 음성군 맹동면 대하로 315,-
국립공주대학교사범대학부설고등학교,일반고등학교,충청남도 공주시 봉황로 75,-
갈산고등학교,일반고등학교,충청남도 홍성군 갈산면 상촌로9번길 39,-
강경고등학교,일반고등학교,충청남도 논산시 강경읍 계백로 188,-
강경상업고등학교,특성화고등학교,충청남도 논산시 강경읍 계백로 220,-
건양대학교병설건양고등학교,일반고등학교,충청남도 논산시 양촌면 황산벌로 486-21,-
홍성공업고등학교,특성화고등학교,충청남도 홍성군 결성면 구성남로 55,-
공주고등학교,일반고등학교,충청남도 공주시 공주고담길 2,-
공주마이스터고등학교,특수목적고등학교,충청남도 공주시 유구읍 중앙1길 27-12,-
공주금성여자고등학교,일반고등학교,충청남도 공주시 무령로 103,-
공주생명과학고등학교,특성화고등학교,충청남도 공주시 금벽로 317,-
공주여자고등학교,일반고등학교,충청남도 공주시 공주여고길 14-1,-
공주영명고등학교,일반고등학교,충청남도 공주시 영명학당2길 33,-
공주정보고등학교,특성화고등학교,충청남도 공주시 마근동길 29,-
한국K-POP고등학교,특성화고등학교,충청남도 홍성군 광천읍 광천로373번길 14,-
충남드론항공고등학교,특성화고등학교,충청남도 홍성군 광천읍 홍남로 695,-
금산고등학교,일반고등학교,충청남도 금산군 금산읍 탑선길 5,-
금산산업고등학교,특성화고등학교,충청남도 금산군 금산읍 진악로 1003,-
금산여자고등학교,자율고등학교,충청남도 금산군 금산읍 인삼로 21,-
논산고등학교,일반고등학교,충청남도 논산시 시민로 173-9,-
국방항공고등학교,특성화고등학교,충청남도 논산시 시민로 365,-
논산대건고등학교,일반고등학교,충청남도 논산시 논산대로 119,-
논산여자고등학교,일반고등학교,충청남도 논산시 중앙로 325,-
논산여자상업고등학교,특성화고등학교,충청남도 논산시 시민로 197,-
당진고등학교,일반고등학교,충청남도 당진시 백암로 219-20,-
당진정보고등학교,특성화고등학교,충청남도 당진시 운학길 5,-
대천고등학교,일반고등학교,충청남도 보령시 대고로 58,-
대천여자고등학교,일반고등학교,충청남도 보령시 중앙로 264,-
대천여자상업고등학교,특성화고등학교,충청남도 보령시 여상길 60,-
대흥고등학교,일반고등학교,충청남도 예산군 대흥면 예당로 845,-
덕산고등학교,일반고등학교,충청남도 예산군 삽교읍 예학로 138,-
아산스마트팩토리마이스터고등학교,특수목적고등학교,충청남도 아산시 둔포면 둔포중앙로133번길 42,-
만리포고등학교,일반고등학교,충청남도 태안군 소원면 서해로 631,-
목천고등학교,일반고등학교,충청남도 천안시 동남구 목천읍 삼방로 145,-
병천고등학교,특성화고등학교,충청남도 천안시 동남구 병천면 충절로 1872,-
복자여자고등학교,일반고등학교,충청남도 천안시 동남구 복자1길 1,-
부석고등학교,일반고등학교,충청남도 서산시 부석면 무학로 1180-9,-
부여고등학교,일반고등학교,충청남도 부여군 부여읍 금성로91번길 3,-
부여여자고등학교,일반고등학교,충청남도 부여군 부여읍 부소로 47,-
부여전자고등학교,특성화고등학교,충청남도 부여군 임천면 충절로 1027,-
부여정보고등학교,특성화고등학교,충청남도 부여군 규암면 충절로2316번길 24,-
삽교고등학교,일반고등학교,충청남도 예산군 삽교읍 삽교로 161,-
서령고등학교,일반고등학교,충청남도 서산시 서령로 117-1,-
서산고등학교,일반고등학교,충청남도 서산시 해미면 서문3길 37,-
서산중앙고등학교,일반고등학교,충청남도 서산시 벌말1길 23,-
서산여자고등학교,일반고등학교,충청남도 서산시 정주골6길 27,-
서야고등학교,일반고등학교,충청남도 당진시 합덕읍 덕평로 335,-
서일고등학교,일반고등학교,충청남도 서산시 지곡면 화천3길 56,-
서천고등학교,일반고등학교,충청남도 서천군 서천읍 사곡로43번길 13-16,-
서천여자고등학교,자율고등학교,충청남도 서천군 서천읍 군청로 84,-
한국미래문화고등학교,특성화고등학교,충청남도 서천군 서천읍 화금서길 45,-
서해삼육고등학교,일반고등학교,충청남도 홍성군 광천읍 홍남로705번길 23,-
충남관광보건고등학교,특성화고등학교,충청남도 천안시 서북구 성환읍 신방로 354,-
송악고등학교,일반고등학교,충청남도 당진시 송악읍 송악로 165,-
