학교명,주소,현재lat,현재lon,kakao_lat,kakao_lon,거리차_km,검증상태
오남고등학교,경기도 남양주시 오남읍 진건오남로 784-27,37.6982648807208,127.206016333047,37.6982648807208,127.206016333047,0.0,ok
광남고등학교,경기도 광주시 회안대로 350-32,37.3846420912183,127.237882964691,37.3846420912183,127.237882964691,0.0,ok
운정고등학교,경기도 파주시 와석순환로 267,37.7220442530715,126.736319937058,37.7220442530715,126.736319937058,0.0,ok
진접고등학교,경기도 남양주시 진접읍 해밀예당2로 13,37.7158456602535,127.190195849382,37.7158456602535,127.190195849382,0.0,ok
세마고등학교,경기도 오산시 수목원로 559-17,37.1805352658727,127.041345242005,37.1805352658727,127.041345242005,0.0,ok
동패고등학교,경기도 파주시 교하로 350,37.7112092819957,126.734357904022,37.7112092819957,126.734357904022,0.0,ok
판곡고등학교,경기도 남양주시 늘을1로 127,37.6628762741531,127.243047035973,37.6628762741531,127.243047035973,0.0,ok
화성반월고등학교,경기도 화성시 병점구 효행로 1281-66,37.2248158471676,127.055201455756,37.2248158471676,127.055201455756,0.0,ok
운양고등학교,경기도 김포시 김포한강11로 58,37.6451440654629,126.689679844758,37.6451440654629,126.689679844758,0.0,ok
미사고등학교,경기도 하남시 미사강변한강로 210,37.5705033645184,127.193389052027,37.5705033645184,127.193389052027,0.0,ok
별가람고등학교,경기도 남양주시 순화궁로 393,37.6614764118779,127.122174166835,37.6614764118779,127.122174166835,0.0,ok
치동고등학교,경기도 화성시 동탄순환대로 881-15,37.2078455503696,127.091478746742,37.2078455503696,127.091478746742,0.0,ok
강원대학교사범대학부설고등학교,강원특별자치도 춘천시 서부대성로 257,37.873431845628,127.747597308901,37.873431845628,127.747597308901,0.0,ok
간동고등학교,강원특별자치도 화천군 간동면 파로호로 945-21,38.0563712031279,127.791591266536,38.0563712031279,127.791591266536,0.0,ok
갑천고등학교,강원도 횡성군 갑천면 갑천로 17,37.5606924985072,128.114375870094,37.5606924985072,128.114375870094,0.0,ok
강릉명륜고등학교,강원특별자치도 강릉시 율곡로 2920-8,37.7631412579538,128.893867681355,37.7631412579538,128.893867681355,0.0,ok
강원과학고등학교,강원도 원주시 치악로 2242,37.3754276525261,127.973197728272,37.3754276525261,127.973197728272,0.0,ok
거진고등학교,강원특별자치도 고성군 거진읍 거탄진로 39-7,38.4396792185073,128.450137660546,38.4396792185073,128.450137660546,0.0,ok
대성고등학교,강원특별자치도 원주시 북원로 2001,37.3273085331093,127.920866676151,37.3273085331093,127.920866676151,0.0,ok
동해삼육고등학교,강원도 동해시 동해대로 5367,37.5220532140245,129.099706968728,37.5220532140245,129.099706968728,0.0,ok
원주금융회계고등학교,강원도 원주시 부론면 부귀로 35,37.2078269480282,127.751658468402,37.2078269480282,127.751658468402,0.0,ok
사내고등학교,강원특별자치도 화천군 사내면 포화로 1093,38.0647265726008,127.51909158584,38.0647265726008,127.51909158584,0.0,ok
사북고등학교,강원특별자치도 정선군 사북읍 소금강로 3640,37.2281757984222,128.828855679762,37.2281757984222,128.828855679762,0.0,ok
한국에너지마이스터고등학교,강원도 삼척시 근덕면 삼척로 3700,37.3849290438801,129.224310432088,37.3849290438801,129.224310432088,0.0,ok
상동고등학교,강원특별자치도 영월군 상동읍 태백산로 3147,37.1252583148627,128.822454492187,37.1252583148627,128.822454492187,0.0,ok
서석고등학교,강원도 홍천군 서석면 구룡령로 2570,37.7093862025813,128.189704636169,37.7093862025813,128.189704636169,0.0,ok
원덕고등학교,강원특별자치도 삼척시 원덕읍 삼척로 480,37.1785971471559,129.331537937156,37.1785971471559,129.331537937156,0.0,ok
원주고등학교,강원도 원주시 치악로 1765,37.3400825548194,127.955818835173,37.3400825548194,127.955818835173,0.0,ok
영서고등학교,강원특별자치도 원주시 치악로 1384,37.3130539602757,127.979830016273,37.3130539602757,127.979830016273,0.0,ok
원주삼육고등학교,강원도 원주시 북원로 1996,37.3267981058179,127.923272658317,37.3267981058179,127.923272658317,0.0,ok
한국의료마이스터고등학교,강원특별자치도 원주시 문막읍 원문로 1756,37.3144602690323,127.822527381205,37.3144602690323,127.822527381205,0.0,ok
육민관고등학교,강원특별자치도 원주시 흥업면 북원로 1800,37.3096923127765,127.917932156702,37.3096923127765,127.917932156702,0.0,ok
함백여자고등학교,강원특별자치도 정선군 신동읍 함백로 376,37.2155883063618,128.674475205367,37.2155883063618,128.674475205367,0.0,ok
함백고등학교,강원특별자치도 정선군 신동읍 함백로 376,37.2155883063618,128.674475205367,37.2155883063618,128.674475205367,0.0,ok
횡성여자고등학교,강원도 횡성군 횡성읍 횡성로 252,37.4762738334985,127.981763626509,37.4762738334985,127.981763626509,0.0,ok
전인고등학교,강원도 춘천시 동산면 새술막길 630,37.787873130134,127.751130489559,37.787873130134,127.751130489559,0.0,ok
강원애니고등학교,강원특별자치도 춘천시 서면 박사로 1025,37.9061659692772,127.70043742922,37.9061659692772,127.70043742922,0.0,ok
강원외국어고등학교,강원특별자치도 양구군 양구읍 금강산로 437-12,38.1198034198888,127.990545604953,38.1198034198888,127.990545604953,0.0,ok
