name,address,src_lat,src_lon,kakao_lat,kakao_lon,diff_km,status,detail
인천논현고등학교,인천광역시 남동구 청능대로611번길 54,37.4031143,126.7270004,37.4039186938338,126.726998731716,0.089,match,
인천진산과학고등학교,인천광역시 부평구 굴포로 194-9,37.5118982,126.7244643,37.5132724150357,126.743713449345,1.705,mismatch,
인천국제고등학교,인천광역시 중구 영종대로277번길 74-40,37.4892106,126.5059331,37.4897139817453,126.509411779505,0.312,minor,
인천만수고등학교,인천광역시 남동구 장승로 91,37.4455445,126.735838,37.4471394062409,126.742423305772,0.608,minor,
인천신현고등학교,인천광역시 서구 염곡로 399,37.5191734,126.6689302,37.5204527607224,126.667959628603,0.166,match,
인천남동고등학교,인천광역시 남동구 은봉로 283,37.4128606,126.6939677,37.4060406325088,126.721071546299,2.511,mismatch,
미추홀외국어고등학교,인천광역시 남동구 에코중앙로 130,37.3879936,126.7220228,37.3896505554698,126.724220620892,0.268,match,
인천상정고등학교,인천광역시 부평구 경원대로 1109,37.4911594,126.7276799,37.4807189773685,126.696380995833,2.996,mismatch,
인천세원고등학교,인천광역시 계양구 장제로 966,37.5517676,126.7444422,37.5516139640216,126.744709250169,0.029,match,
인천고잔고등학교,인천광역시 남동구 에코중앙로 117,37.3879936,126.7220228,37.3892221517693,126.72265448484,0.148,match,
인천해송고등학교,인천광역시 연수구 해송로 20,37.3825767,126.6459914,37.3825401579274,126.645868764869,0.012,match,
인천송천고등학교,인천광역시 남동구 앵고개로815번길 59,37.396006,126.7229195,37.3958212468667,126.721898480898,0.093,match,
인천초은고등학교,인천광역시 서구 청라에메랄드로 42,37.5285788,126.6564757,37.5292910878957,126.657138170242,0.098,match,
인천연송고등학교,인천광역시 연수구 컨벤시아대로42번길 72,37.4029754,126.6466379,37.4031938348093,126.646532262747,0.026,match,
인천영종고등학교,인천광역시 중구 영종대로278번길 34,37.4855094,126.5007217,37.4853189947658,126.501682470053,0.087,match,
인천해원고등학교,인천광역시 서구 청라사파이어로140번길 25,37.5280521,126.627597,37.5281676387204,126.627565971795,0.013,match,
인천하늘고등학교,인천광역시 중구 영종대로277번길 117,37.4884222,126.5048715,37.4954657122268,126.507080294999,0.807,minor,
인천영흥고등학교,인천광역시 옹진군 영흥면 내동로 107,37.265903,126.4796796,37.2652065925535,126.479420067284,0.081,match,
인천과학예술영재학교,인천광역시 연수구 아카데미로 192,37.3816009,126.6303713,37.3819993335559,126.630139563385,0.049,match,
인천포스코고등학교,인천광역시 연수구 컨벤시아대로42번길 50,37.40153,126.6486361,37.4014662159258,126.648130019538,0.045,match,
인천중산고등학교,인천광역시 중구 은하수로 142,37.4977718,126.5699122,37.4979686732944,126.569851115127,0.023,match,
인천아라고등학교,인천광역시 서구 서로2로 62,37.5849237,126.7024672,37.5871265593399,126.703948027093,0.278,match,
인천이음고등학교,인천광역시 서구 이음1로 469,37.5998978,126.7125079,37.6006044826511,126.710462626389,0.197,match,
인천운남고등학교,인천광역시 중구 운남동,37.4815998,126.5174514,37.4891707175436,126.527232917984,1.206,mismatch,
전남대학교사범대학부설고등학교,광주광역시 북구 용봉로 45,35.1729406,126.9020284,35.1729465031535,126.901101801289,0.084,match,
고려고등학교,광주광역시 북구 설죽로 369,35.1927535,126.8973484,35.1925390144904,126.898285385921,0.088,match,
광덕고등학교,광주광역시 서구 화정로 202,35.1451981,126.8794771,35.1446868977126,126.878496666282,0.106,match,
광일고등학교,광주광역시 광산구 고봉로 812,35.2446487,126.7401537,35.2206283826609,126.741950812541,2.676,mismatch,
광주경신여자고등학교,광주광역시 북구 금호로40번길 40,35.173219,126.8900313,35.1747383939757,126.892624404685,0.29,match,
광주고등학교,광주광역시 동구 중앙로 302,35.148699,126.9136245,35.1594787737076,126.920997540369,1.373,mismatch,
광주과학고등학교,광주광역시 북구 첨단과기로 215,35.2263238,126.8463292,35.228159267962,126.848196092892,0.265,match,
광주공업고등학교,광주광역시 북구 설죽로315번길 14,35.1881756,126.8964545,35.1891320023514,126.895135840227,0.16,match,
광주대동고등학교,광주광역시 서구 전평길 50,35.1197159,126.8494114,35.1193702099954,126.84955883148,0.041,match,
광주동성고등학교,광주광역시 남구 서문대로627번길 20,35.1156774,126.8966307,35.1153621264246,126.893451593707,0.291,match,
광주동신고등학교,광주광역시 북구 동문대로 50,35.1693793,126.9219924,35.1694378564351,126.92234609245,0.033,match,
광주동신여자고등학교,광주광역시 북구 동문대로 50,35.1693793,126.9219924,35.1694378564351,126.92234609245,0.033,match,
광주서석고등학교,광주광역시 서구 화정로253번길 27,35.1495519,126.8826668,35.1492506672679,126.881314991256,0.127,match,
광주석산고등학교,광주광역시 남구 백운로26번길 20,35.1370152,126.9087307,35.1395772061223,126.90836623976,0.287,match,
광주수피아여자고등학교,광주광역시 남구 백서로 13,35.1395085,126.9155513,35.1371931710119,126.911613966574,0.441,minor,
광주숭일고등학교,광주광역시 북구 모룡대길 40,35.2163757,126.8962788,35.2178117816288,126.896814150293,0.167,match,
광주여자고등학교,광주광역시 서구 상무대로1014번길 43,35.1494777,126.872648,35.148187748175,126.873183932493,0.151,match,
광주여자상업고등학교,광주광역시 남구 서문대로627번길 20,35.1156774,126.8966307,35.1153621264246,126.893451593707,0.291,match,
광주예술고등학교,광주광역시 북구 서하로 72,35.1874906,126.8889408,35.1870124590283,126.887882967052,0.11,match,
광주인성고등학교,광주광역시 남구 서문대로 390,35.1029005,126.8805525,35.1028150204428,126.881330128591,0.071,match,
광주자연과학고등학교,광주광역시 북구 능안로 30,35.186838,126.9171039,35.1908427373082,126.915495922118,0.469,minor,
광주소프트웨어마이스터고등학교,광주광역시 광산구 상무대로 312,35.1427681,126.8003282,35.1427689679488,126.800771954215,0.04,match,
광주전자공업고등학교,광주광역시 광산구 첨단중앙로 7,35.2229199,126.8406674,35.204856045971,126.84076814963,2.009,mismatch,
